scenario,metric,unit,value,,,,
fixed_no_mpc,total_delay,s,34.57170312,,,,
fixed_no_mpc,avg_queue_count,vehicles,23.4343,,,,
fixed_no_mpc,hdv_fuel_g,g/veh,17.9369787,,,,
fixed_no_mpc,actual_cav_energy_kwh,kWh,8.01949969,,,,
fixed_no_mpc,actual_cav_mean_abs_jerk,m s$^{-3}$,3.702807135,,,,
,,,,,,,
,,,,,,, 
,,,,,,,
fixed_mpc,total_delay,s,31.23984886,,,,
fixed_mpc,avg_queue_count,vehicles,23.81963333,,,,
fixed_mpc,hdv_fuel_g,g/veh,15.95625624,,,,
fixed_mpc,actual_cav_energy_kwh,kWh,6.566386556,,,,
fixed_mpc,actual_cav_mean_abs_jerk,m s$^{-3}$,3.133301272,,,,
,,,,,,,
,,,,,,,
,,,,,,,
dqn_no_mpc,total_delay,s,18.55965341,,,,
dqn_no_mpc,avg_queue_count,vehicles,8.599466667,,,,
dqn_no_mpc,hdv_fuel_g,g/veh,15.75063963,,,,
dqn_no_mpc,actual_cav_energy_kwh,kWh,7.516850632,,,,
dqn_no_mpc,actual_cav_mean_abs_jerk,m s$^{-3}$,5.442263273,,,,
,,,,,,,
,,,,,,,
,,,,,,,
dqn_mpc,total_delay,s,15.7516867,,,,
dqn_mpc,avg_queue_count,vehicles,8.601733333,,,,
dqn_mpc,hdv_fuel_g,g/veh,12.72194264,,,,
dqn_mpc,actual_cav_energy_kwh,kWh,6.021365092,,,,
dqn_mpc,actual_cav_mean_abs_jerk,m s$^{-3}$,4.512418957,,,,